# perft_suite_960_mid.txt - Chess960 MIDGAME positions where castling is legal.
#
#   ./perft --make all -d 4 -f perft_suite_960_mid.txt
#   ./perft --check --nobulk --make all -d 3 -f perft_suite_960_mid.txt
#
# perft_suite_960.txt holds the 960 START positions, and they are nearly useless for castling:
# it is not even reachable in the four plies that suite runs. These are positions where the back
# rank has opened up, king and rooks are still home, and castling is legal RIGHT NOW - including
# the cases where the rook's castling destination is its own square.
#
# Generated by walking random legal moves with STOCKFISH (not libchess, so the positions do not
# depend on the generator under test), keeping only positions where some legal move is the king
# moving onto one of its own rooks. Counts from Stockfish under UCI_Chess960.
#
# Two batches from different seeds, 900 positions. The first found both defects below; the
# second was generated afterwards, independently, and passed clean - which is the evidence that
# the fixes are complete rather than merely fitted to the cases that exposed them.
#
# Defect 1 (move generation): castling legality tested the king's path against attacks computed
# with the castling ROOK STILL IN PLACE. In Chess960 the rook can have an enemy slider behind it
# on the back rank - white king d1, white rook b1, BLACK QUEEN a1 - so castling queenside vacates
# b1 and the queen then attacks c1. libchess generated d1b1; Stockfish did not. Standard chess
# cannot produce this, because the queenside rook starts on a1 with nothing behind it.
#
# Defect 2 (make/unmake): undo_move() restored the castling rook to its source before clearing
# its destination, and in Chess960 those can be the same square. See perft_suite_960.txt.
nnrk1br1/pp1b2pq/3p3p/2p1pP2/2P1P3/PN3P2/1PRPK2P/1N2BBRQ b gc - 4 9 ;D1 29 ;D2 902 ;D3 26218 ;D4 836108
r3krqb/ppp1ppp1/7N/3p3p/1n3nP1/1P2P2b/P1PP1P1P/RNB1KRQB b FAfa - 0 8 ;D1 36 ;D2 816 ;D3 29791 ;D4 728787
nrbqk1rb/1p1p2pp/p1p1p1n1/5p2/3N4/P2P2PP/1PP1PP2/1RBQKNRB b GBgb - 0 6 ;D1 29 ;D2 951 ;D3 27600 ;D4 917670
bbrknq1r/2pppp1p/1p4p1/p7/3NPn2/3P3P/PPP2PPR/BBRKNQ2 b Chc - 0 7 ;D1 33 ;D2 844 ;D3 26063 ;D4 680962
b1rn2qr/p1p2k1p/4p2b/1pPp1pp1/1P4P1/2N2P1B/3PP2P/BNR1K1QR w HC - 0 11 ;D1 29 ;D2 683 ;D3 20980 ;D4 506234
nr2kNb1/pp1ppp1p/6p1/3nq3/4P3/4bB2/PPPP1PPP/NR2KRBQ b FBb - 0 8 ;D1 48 ;D2 1318 ;D3 59457 ;D4 1618256
bnr1kqnr/ppp1bppp/4p3/3p4/3P2P1/8/PPP1PP1P/BNRBKQNR b HChc - 0 4 ;D1 30 ;D2 610 ;D3 18729 ;D4 420767
r3b1rb/npppqpp1/n4k1p/p2B4/P1P1Pp2/1P1P2P1/4N2P/RN1QBKR1 w GA - 3 10 ;D1 34 ;D2 1024 ;D3 35912 ;D4 1083361
r2knrbn/pq1ppppp/1p6/2p5/P2BPb2/5R2/1PPP2PP/RBQKN2N b Afa - 1 5 ;D1 41 ;D2 1484 ;D3 57724 ;D4 2007248
nb1rkqbr/1ppppp1p/p5p1/8/1P1P2Pn/2R4Q/P1P1PP1P/NBN1K1BR b Hhd - 1 6 ;D1 23 ;D2 684 ;D3 17350 ;D4 522202
r1bnnkrq/p3p1p1/1p1pp2p/4b3/1P6/B4P2/P1PPP1PP/RB1N1KRQ w GAga - 0 7 ;D1 21 ;D2 554 ;D3 11778 ;D4 322594
bnrkrq1b/pp1pp2p/2p2p2/2N3p1/1P1n1P2/3NPR2/P1PP2PP/B1RK2QB w Cc - 1 9 ;D1 37 ;D2 1005 ;D3 37022 ;D4 1022006
rbb1nkrn/pp1qppp1/3p4/2p4p/1P3P2/3P4/P1P1P1PP/RBBQNKRN w GAga - 1 5 ;D1 24 ;D2 664 ;D3 16680 ;D4 490861
n1rk1nqr/bppp1bpp/4p3/p4p2/P1PP1P2/1NK1P3/BPR3PP/4BNQR b hc - 0 10 ;D1 24 ;D2 608 ;D3 14276 ;D4 363638
nb1rkrbn/Bqp2ppp/8/1p1pp3/4P3/5PN1/PPPP2PP/NBQRKR2 b FDfd - 1 5 ;D1 25 ;D2 712 ;D3 19678 ;D4 560288
nrbknrqb/1ppp1p1p/8/p3p1p1/1P1P1B1P/6P1/P1P1PP2/NR1KNRQB w FBfb - 0 6 ;D1 37 ;D2 950 ;D3 34378 ;D4 922007
br1knqrn/pp1ppppp/8/1P5P/2p5/2B5/P1PPPPPb/1BRKNQRN w GCg - 0 6 ;D1 24 ;D2 572 ;D3 14296 ;D4 356750
1brkq1br/pppnpppp/3p4/8/2P2PP1/8/PPPKP2P/NBR1QNBR b hc - 0 5 ;D1 22 ;D2 655 ;D3 15304 ;D4 461105
r2kr1b1/np1p1ppq/p6p/4p3/1Pp1P1P1/2PPQn2/P1B2P1B/R1NKRN2 b EAea - 4 12 ;D1 34 ;D2 1051 ;D3 33674 ;D4 1072222
b1rknr1b/p1qppp2/2p5/1p4Pp/4n3/P1P1PN1P/1PRPK1P1/B1Q1NR1B b fc - 1 10 ;D1 40 ;D2 859 ;D3 33636 ;D4 783559
nqr2n1r/pppkp2p/3p2p1/1b3pP1/Q6P/P1b2P2/1PPPP3/N1RKBNRB w C - 2 12 ;D1 33 ;D2 972 ;D3 31431 ;D4 930447
rbn1bkr1/p2pppp1/1p4n1/7p/2pq4/1N2PP2/PPPPN1R1/RQ1BBK2 b Aga - 1 12 ;D1 39 ;D2 1159 ;D3 42200 ;D4 1233225
rk2bb1r/n2pp2p/2q1B2n/1pp2pp1/pB1P1P1P/2N1P1P1/PPPQ4/RK4NR w HAha - 2 13 ;D1 40 ;D2 1385 ;D3 54299 ;D4 1841384
1r2k1bb/ppppq1p1/1n4p1/6p1/2n1P2P/5r2/PPPP1P1B/NR2KR1B w FBb - 0 10 ;D1 26 ;D2 1368 ;D3 34363 ;D4 1703545
nbbrkr1q/p1pppp1p/7n/1p4p1/2P5/3PP3/PP1KNPPP/NBBR1R1Q b fd - 1 5 ;D1 28 ;D2 733 ;D3 21916 ;D4 588095
1bb1rk1r/p1ppn2p/1pn5/4ppp1/1PK4P/3P1N2/P1P1qPP1/QBBNR2R b he - 2 9 ;D1 36 ;D2 1108 ;D3 40583 ;D4 1250783
1qkr3n/1pp1p1bp/r5bn/p2p2p1/P4P1P/2PP2N1/RPQ1NPP1/2KRBB2 b Dd - 3 11 ;D1 42 ;D2 1005 ;D3 41167 ;D4 1041659
rk1b2rn/pp1pp3/2p2pnp/4q1pb/P3P3/1P3B1P/2PPQPP1/RK2BNRN w GAga - 4 9 ;D1 26 ;D2 1024 ;D3 27245 ;D4 1038808
rq1bknbr/n1pp2p1/pp3p2/4p1Qp/2P5/PB1N2P1/1P1PPP1P/R3KNBR w HAha - 2 9 ;D1 36 ;D2 964 ;D3 34644 ;D4 952369
1q1nk1rn/rbp1ppbp/6p1/Pp1p4/P4PN1/Q1P4P/3PP1P1/R1BNKBR1 b GAg - 1 10 ;D1 33 ;D2 1018 ;D3 31200 ;D4 1003267
nr1kbbrn/q2pp3/1pp5/B4Ppp/3PPP2/8/PPP1K2P/NRQ3RN b gb - 2 10 ;D1 27 ;D2 1040 ;D3 29899 ;D4 1102816
